"participantnum";"date";"ms_condition";"dv_order";"prous1";"prous2";"prous3";"prous4";"prous5";"antius1";"antius2";"antius3";"antius4";"antius5";"cheerful";"sad";"active";"angryatself";"disgusted";"calm";"guilty";"enthusiastic";"attentive";"afraid";"joyful";"downhearted";"bashful";"tired";"nervous";"sheepish";"sluggish";"amazed";"lonely";"distressed";"daring";"shaky";"sleepy";"blameworthy";"surprised";"happy";"excited";"determined";"strong";"timid";"hostile";"frightened";"scornful";"alone";"proud";"astonished";"relaxed";"alert";"jittery";"interested";"irritable";"upset";"lively";"loathing";"delighted";"angry";"ashamed";"confident";"inspired";"bold";"atease";"energetic";"fearless";"blue";"scared";"concentrating";"disgustedwithself";"shy";"drowsy";"dissatisfiedwithself";"countryofbirth";"race";"americanid";"msincomplete";"expert";"source";"location";"proauth_avg";"antiauth_avg";"pro_minus_anti";"pass_ER1";"pass_ER2";"pass_ER3"
"42";NA;"tv";"pro-first";6;7;7;8;5;7;6;7;5;7;"3";"1";"1";"1";"1";"5";"1";"1";"3";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"3";"1";"1";"3";"1";"1";"3";"2";"1";"1";"1";"2";"1";"1";"4";"2";"1";"2";"1";"1";"2";"1";"3";"1";"1";"3";"1";"1";"4";"1";"3";"1";"1";"3";"1";"2";"2";"1";"1";"1";5;"0";1;"riverside";"riverside";6,66666666666667;6,33333333333333;0,333333333333334;TRUE;TRUE;FALSE
"45";NA;"tv";"pro-first";7;5;7;7;6;7;7;8;6;8;"3";"1";"3";"1";"1";"4";"1";"3";"4";"1";"3";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"3";"2";"5";"3";"2";"1";"1";"1";"2";"4";"1";"4";"3";"2";"3";"1";"1";"3";"1";"1";"1";"1";"3";"2";"2";"3";"2";"2";"1";"1";"3";"1";"3";"2";"1";"1";"1";4;"0";1;"riverside";"riverside";6,66666666666667;7,33333333333333;-0,666666666666666;TRUE;TRUE;FALSE
"53";NA;"tv";"anti-first";7;7;8;5;8;6;5;8;5;8;"2";"1";"1";"1";"1";"2";"1";"1";"4";"1";"2";"1";"1";"5";"1";"1";"5";"1";"1";"1";"1";"1";"5";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"4";"1";"1";"4";"2";"1";"1";7;"0";1;"riverside";"riverside";7;7;0;TRUE;TRUE;TRUE
"54";NA;"tv";"pro-first";7;6;6;6;7;4;2;4;4;6;"2";"1";"1";"2";"1";"4";"1";"1";"4";"1";"1";"1";"1";"3";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"3";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";8;"0";1;"riverside";"riverside";6,33333333333333;4,66666666666667;1,66666666666667;TRUE;TRUE;TRUE
"59";NA;"tv";"anti-first";6;6;4;7;4;6;6;4;7;4;"4";"3";"3";"2";"2";"3";"1";"5";"5";"1";"3";"3";"2";"2";"1";"1";"2";"1";"5";"1";"5";"1";"3";"1";"2";"4";"2";"5";"5";"2";"1";"1";"2";"5";"5";"1";"3";"4";"1";"3";"2";"2";"5";"1";"4";"1";"1";"3";"4";"4";"3";"4";"4";"2";"1";"4";"1";"1";"3";"1";"1";"1";1;"0";1;"riverside";"riverside";5;5;0;TRUE;TRUE;FALSE
"61";NA;"ms";"anti-first";7;8;6;6;6;3;2;4;6;1;"5";"1";"5";"1";"1";"5";"1";"5";"5";"1";"5";"1";"1";"1";"1";"1";"1";"3";"1";"1";"3";"1";"1";"1";"3";"5";"5";"1";"5";"5";"1";"1";"1";"1";"5";"1";"5";"5";"1";"5";"1";"1";"5";"5";"5";"1";"1";"5";"5";"5";"5";"5";"3";"1";"1";"5";"1";"1";"1";"5";"1";"1";6;"0";1;"riverside";"riverside";6;3,66666666666667;2,33333333333333;TRUE;TRUE;FALSE
"79";NA;"ms";"anti-first";9;9;6;8;6;2;1;3;1;4;"1";"2";"1";"1";"1";"4";"1";"1";"4";"2";"1";"1";"1";"4";"3";"1";"2";"1";"1";"1";"1";"3";"3";"1";"1";"1";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"3";"3";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";9;"0";1;"riverside";"riverside";6,66666666666667;2,66666666666667;4;TRUE;TRUE;TRUE
"85";NA;"ms";"anti-first";7;6;6;7;6;7;7;6;5;5;"3";"1";"3";"1";"1";"4";"1";"1";"4";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"3";"1";"1";"1";"1";"1";"2";"1";"4";"3";"1";"4";"1";"1";"1";"1";"2";"1";"1";"3";"2";"1";"4";"2";"3";"1";"1";"3";"1";"2";"1";"1";"1";"1";7;"0";1;"riverside";"riverside";6,33333333333333;5,33333333333333;1;TRUE;TRUE;TRUE
"95";NA;"ms";"anti-first";7;6;7;8;7;3;4;7;6;3;"3";"1";"3";"1";"1";"5";"1";"4";"4";"1";"4";"1";"2";"4";"1";"1";"2";"1";"2";"1";"1";"1";"4";"1";"1";"4";"2";"4";"4";"1";"1";"1";"1";"2";"4";"1";"4";"4";"1";"4";"1";"1";"3";"1";"3";"1";"1";"4";"3";"3";"4";"3";"3";"1";"1";"1";"1";"2";"3";"1";"1";"1";7;"0";1;"riverside";"riverside";7,33333333333333;5,33333333333333;2;TRUE;TRUE;TRUE
"100";NA;"tv";"anti-first";6;7;6;7;7;5;3;6;5;5;"3";"1";"2";"1";"1";"3";"1";"1";"3";"1";"2";"1";"1";"3";"1";"1";"2";"1";"2";"1";"3";"1";"3";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"1";"3";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"3";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";7;"0";1;"riverside";"riverside";6,66666666666667;5,33333333333333;1,33333333333333;TRUE;TRUE;TRUE
"1";"3/31/2017";"ms";"pro-first";8;9;6;7;6;9;9;7;7;7;"3";"1";"3";"1";"1";"2";"1";"2";"2";"1";"3";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"1";"2";"3";"1";"1";"1";"1";"1";"1";"1";"3";"4";"1";"3";"1";"1";"3";"1";"4";"1";"1";"2";"2";"2";"3";"3";"2";"1";"1";"4";"1";"1";"1";"1";"1";"1";7;NA;1;"uwmadison_expert";"uwmadison";6,33333333333333;7;-0,666666666666667;TRUE;TRUE;TRUE
"2";"3/31/2017";"ms";"pro-first";7;7;7;8;8;2;2;3;1;3;"4";"2";"2";"1";"3";"2";"1";"2";"3";"2";"2";"1";"1";"3";"2";"1";"1";"1";"1";"1";"1";"2";"3";"1";"2";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"3";"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"2";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";9;NA;1;"uwmadison_expert";"uwmadison";7,66666666666667;2,33333333333333;5,33333333333333;TRUE;TRUE;TRUE
"4";"3/31/2017";"ms";"pro-first";9;8;5;6;5;2;1;4;4;4;"1";"2";"1";"1";"1";"5";"1";"1";"5";"1";"1";"1";"1";"5";"1";"1";"4";"1";"1";"2";"2";"1";"5";"1";"1";"3";"1";"2";"5";"5";"3";"1";"1";"1";"1";"1";"4";"4";"2";"3";"3";"1";"2";"1";"1";"1";"1";"5";"1";"1";"5";"2";"3";"1";"1";"5";"2";"4";"4";"1";"1";"1";9;NA;1;"uwmadison_expert";"uwmadison";5,33333333333333;4;1,33333333333333;TRUE;TRUE;TRUE
"5";"3/31/2017";"ms";"pro-first";9;9;9;9;8;2;2;6;1;2;"4";"1";"3";"1";"1";"5";"1";"3";"4";"1";"3";"1";"1";"3";"2";"1";"2";"1";"1";"1";"3";"2";"3";"1";"1";"4";"4";"2";"4";"1";"1";"1";"1";"1";"1";"1";"4";"3";"3";"3";"2";"1";"4";"1";"1";"1";"1";"4";"1";"2";"3";"3";"2";"1";"1";"4";"1";"1";"2";"1";"1";"1";8;NA;1;"uwmadison_expert";"uwmadison";8,66666666666667;3;5,66666666666667;TRUE;TRUE;TRUE
"7";"3/31/2017";"ms";"pro-first";7;7;7;6;6;6;5;4;3;4;"2";"1";"2";"1";"1";"4";"1";"2";"2";"1";"2";"1";"1";"5";"1";"1";"3";"2";"1";"1";"1";"1";"4";"1";"2";"3";"1";"2";"3";"1";"1";"1";"1";"1";"1";"1";"3";"3";"1";"2";"2";"1";"2";"1";"2";"1";"1";"3";"2";"1";"2";"2";"2";"1";"1";"3";"1";"1";"1";"1";"1";"1";6;NA;1;"uwmadison_expert";"uwmadison";6,33333333333333;3,66666666666667;2,66666666666667;TRUE;TRUE;FALSE
"8";"3/31/2017";"ms";"pro-first";6;6;6;7;5;7;8;8;8;8;"2";"3";"4";"2";"3";"1";"3";"3";"5";"2";"2";"3";"2";"3";"1";"4";"2";"4";"3";"2";"4";"4";"2";"3";"2";"2";"3";"2";"3";"3";"4";"4";"3";"4";"4";"4";"2";"5";"3";"3";"3";"4";"2";"2";"2";"3";"4";"3";"3";"4";"3";"4";"3";"3";"2";"4";"2";"2";"1";"3";"1";"1";9;NA;1;"uwmadison_expert";"uwmadison";6;8;-2;TRUE;TRUE;TRUE
"9";"3/31/2017";"ms";"pro-first";6;6;5;5;5;6;7;5;6;5;"3";"1";"2";"1";"1";"4";"1";"2";"3";"1";"3";"1";"2";"3";"1";"1";"2";"2";"1";"1";"4";"1";"4";"1";"1";"3";"3";"1";"4";"1";"1";"1";"1";"1";"1";"1";"4";"2";"2";"2";"2";"1";"2";"1";"3";"1";"1";"2";"2";"2";"3";"2";"3";"1";"1";"2";"1";"1";"3";"1";"1";"1";4;NA;1;"uwmadison_expert";"uwmadison";5;5,33333333333333;-0,333333333333333;TRUE;TRUE;FALSE
"10";"3/31/2017";"ms";"pro-first";8;8;8;8;8;7;5;8;6;8;"3";"2";"1";"1";"1";"4";"1";"1";"4";"1";"2";"1";"2";"3";"2";"2";"3";"1";"2";"2";"1";"2";"4";"1";"1";"3";"1";"3";"2";"2";"1";"1";"1";"2";"2";"1";"3";"4";"1";"3";"2";"1";"2";"1";"2";"1";"1";"2";"3";"1";"4";"1";"1";"1";"1";"3";"1";"2";"4";"1";"1";"1";7;NA;1;"uwmadison_expert";"uwmadison";8;7,33333333333333;0,666666666666667;TRUE;TRUE;TRUE
"11";"3/31/2017";"ms";"pro-first";6;5;4;4;4;8;8;8;8;7;"1";"2";"1";"1";"1";"4";"1";"1";"3";"1";"1";"1";"4";"1";"2";"1";"4";"1";"3";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"3";"1";"1";"4";"4";"1";"1";"4";"3";"1";"3";"3";"1";"1";"1";"1";"1";"2";"4";"1";"1";"4";"1";"1";"1";"1";"4";"1";"4";"1";"2";"1";"1";6;NA;1;"uwmadison_expert";"uwmadison";4;7,66666666666667;-3,66666666666667;TRUE;TRUE;FALSE
